,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,W-131,W-132,W-133,W-134,sMAPE
X1,23041,28548,23256,26178,21507.49361,25371.18167,20185.69047,29138.07027,1,SVD:AutoArima,0.06884661,0.117836296,0.141353133,0.107023881,10.87649803
X2,25264,32399,23838,30331,23020.27005,31646.85316,23443.39109,37742.27043,2,SVD:AutoArima,0.09293834,0.023487761,0.016691933,0.217743922,8.771548886
X3,36203,45596,31472,41872,35954.88124,44384.43089,35084.41275,48788.83787,3,SVD:AutoArima,0.006877108,0.026929613,0.108551907,0.152587116,7.37364358
X4,55980,68640,52892,56983,46759.62303,58132.1194,45528.37582,63976.67113,4,SVD:AutoArima,0.179490185,0.165775892,0.149636173,0.115636411,15.26346653
X5,24230,31318,20833,28806,22705.48003,29828.94203,20759.32812,31313.72116,5,SVD:AutoArima,0.064962368,0.04870425,0.003542571,0.083424245,5.015835832
X6,24360,29619,21668,26278,20859.17442,28116.59686,19699.18432,30261.83659,6,SVD:AutoArima,0.154838102,0.052044258,0.095187319,0.140921404,11.07477708
X7,54733,63613,52869,66189,43394.84209,54956.50263,41469.51677,66183.4871,7,SVD:AutoArima,0.231089519,0.14601558,0.241671877,8.32937E-05,15.47150676
X8,32803,45243,30434,39397,31397.4769,41258.14255,30486.93072,45639.86091,8,SVD:AutoArima,0.043785441,0.092134215,0.001737686,0.146827172,7.112112864
X9,37687,46198,35939,43280,39621.18622,48932.69066,39407.93358,53824.58987,9,SVD:AutoArima,0.050038329,0.057493342,0.092078958,0.217180051,10.41976699
X10,31738,38063,35417,32247,32102.81205,36335.95883,27175.8907,40111.06475,10,SVD:AutoArima,0.011428804,0.046426488,0.263324132,0.217365259,13.46361705
X11,39992,51044,38288,41930,37279.4665,41817.17876,34264.85395,50468.13128,11,SVD:AutoArima,0.070207895,0.198722897,0.110902489,0.184811774,14.11612638
X12,37816,55205,36316,45240,35475.24843,51154.50028,36175.82631,52530.34271,12,SVD:AutoArima,0.063875336,0.076166204,0.003867296,0.149131986,7.326020588
X14,28515,34606,25514,30199,28979.16498,34711.47275,28145.17734,38715.09667,14,SVD:AutoArima,0.016146507,0.003043179,0.098069984,0.247151079,9.110268747
X15,34122,48072,33333,42234,33089.29421,41791.04726,32833.77824,46444.14328,15,SVD:AutoArima,0.030730127,0.139789445,0.015089801,0.094953348,7.014067999
X16,43324,52864,43436,49883,41353.43526,49977.48842,39541.35566,54735.56309,16,SVD:AutoArima,0.046542854,0.056135158,0.093872462,0.09276677,7.232931086
X17,30469,42524,29050,40773,28958.29223,38089.24154,27072.26594,40781.67642,17,SVD:AutoArima,0.050842221,0.110025558,0.07047948,0.000212776,5.789000881
X18,38057,44676,34758,43024,35051.64845,45401.02512,34405.50064,48007.04008,18,SVD:AutoArima,0.082216034,0.016097892,0.010193219,0.109480021,5.449679145
X19,32244,44226,31180,40358,35921.90111,46251.29908,35173.52964,47061.58348,19,SVD:AutoArima,0.107910291,0.044769221,0.12037128,0.153365715,10.66041267
X21,26070,41746,26238,41442,26648.10481,36766.81709,27374.44477,40842.14555,21,SVD:AutoArima,0.021931927,0.126837454,0.042394812,0.014580074,5.143606671
X23,27656,37624,27167,33804,26765.13239,36585.64387,24775.72088,38939.01485,23,SVD:AutoArima,0.032739767,0.027984399,0.092073695,0.141182349,7.349505251
X24,50093,65151,46437,60216,49883.89691,62884.8886,49111.56509,68129.93753,24,SVD:AutoArima,0.004183028,0.035398066,0.055983365,0.123321979,5.472160954
X25,57999,65600,51031,58650,51539.36807,65516.0991,52509.34588,70698.88878,25,SVD:AutoArima,0.117942818,0.001279796,0.028555939,0.186300615,8.351979196
X26,35892,47254,33761,42262,32833.90503,43634.51739,33621.38991,45056.71529,26,SVD:AutoArima,0.088993953,0.079646642,0.004143815,0.064011828,5.919905953
X27,49688,63333,40204,57079,48342.54369,63908.04158,47651.46631,70974.71121,27,SVD:AutoArima,0.027449737,0.009038618,0.169539054,0.217029418,10.57642066
X28,22696,32563,20859,32451,21160.62388,29323.55446,20377.85243,31586.21534,28,SVD:AutoArima,0.070017981,0.104689801,0.023335805,0.027008815,5.626310046
X29,40266,50855,37457,45123,42502.56682,57263.95264,43602.6123,56104.04364,29,SVD:AutoArima,0.05404387,0.118553731,0.151631919,0.216958695,13.52970539
X30,21603,26303,18725,24368,18412.08589,24647.99622,18154.85488,25905.56726,30,SVD:AutoArima,0.159485556,0.064964531,0.030919054,0.061168019,7.913429004
X31,31240,38223,29525,33732,26573.07665,35806.20278,26970.54928,39155.41996,31,SVD:AutoArima,0.161448711,0.065293077,0.090430158,0.148816352,11.64970744
X33,42947,51575,40769,44097,41764.7237,51663.54263,41379.55729,55001.42267,33,SVD:AutoArima,0.027912932,0.001715302,0.014864711,0.220072578,6.614138077
X34,46938,56661,40804,47688,42526.38075,50178.60846,39195.99026,57158.76061,34,SVD:AutoArima,0.09862292,0.121348096,0.040200248,0.180659098,11.02075908
X35,58449,75304,47704,58751,57071.69193,77552.50903,58143.18023,84900.85125,35,SVD:AutoArima,0.023845218,0.029419866,0.197250039,0.364072597,15.36469302
X37,35599,46140,33045,41853,30853.65237,42375.98816,29532.29091,41920.21489,37,SVD:AutoArima,0.142818908,0.08504705,0.112267854,0.001604687,8.543462489
X38,30014,43200,27715,36029,29243.28503,42009.52074,30354.83988,42528.57729,38,SVD:AutoArima,0.026012497,0.0279424,0.090919482,0.165472957,7.758683388
X39,23247,30991,21427,32916,21377.55291,29874.58916,22638.89347,35252.13062,39,SVD:AutoArima,0.083785583,0.036684467,0.055003694,0.068540258,6.100350046
X40,23031,28918,25224,26328,22947.77474,26184.52716,20847.34871,24957.9392,40,SVD:AutoArima,0.00362016,0.099214064,0.189994494,0.053428321,8.656425971
X42,52677,65226,48837,57047,52638.43543,66924.26745,53606.08356,71919.33501,42,SVD:AutoArima,0.000732363,0.025702066,0.09310699,0.230639027,8.754511144
X43,31905,41134,30327,37034,30155.51501,43285.25582,32977.36829,44724.98055,43,SVD:AutoArima,0.05637997,0.050965998,0.083734136,0.188137878,9.480449553
X44,25323,34895,24389,31814,26314.53322,33984.98446,24042.53608,37221.86661,44,SVD:AutoArima,0.038403586,0.026423221,0.014307369,0.15666832,5.895062389
X45,27705,36896,27931,30659,26755.23982,34587.50755,24760.28564,36072.63567,45,SVD:AutoArima,0.03487903,0.064588114,0.120350617,0.162250951,9.551717786
X47,39002,50227,34536,41714,35229.85097,46645.30003,36572.6375,50047.8365,47,SVD:AutoArima,0.10163155,0.073946835,0.057282422,0.181640578,10.36253461
X48,18510,23535,16543,18820,16885.32405,21591.0023,15026.15776,22503.63977,48,SVD:AutoArima,0.091801728,0.086158649,0.096096466,0.178282445,11.30848219
X49,40798,51329,40189,49252,39127.85029,47579.60442,38187.43711,50741.02694,49,SVD:AutoArima,0.041792479,0.075815357,0.051075628,0.029782616,4.961652001
X50,22600,32021,22050,27798,21721.68715,29161.51087,21081.76403,30584.76179,50,SVD:AutoArima,0.039633548,0.093474069,0.044896655,0.095465227,6.836737468
X53,29262,36331,26459,33803,24827.47939,31183.09883,25126.62206,37896.39192,53,SVD:AutoArima,0.163969802,0.152498552,0.05165695,0.114182054,12.05768395
X54,40180,52331,38909,50043,36642.73513,50549.34299,36206.03556,49304.659,54,SVD:AutoArima,0.092089012,0.034635518,0.071968666,0.014863783,5.338924455
X55,28773,33154,22805,29899,27456.85583,33137.56959,25688.9358,33740.66058,55,SVD:AutoArima,0.046813002,0.000495701,0.118940059,0.120731649,7.174510284
X56,46275,55610,45413,46135,43785.35518,53856.54051,39865.53382,54175.18907,56,SVD:AutoArima,0.055288363,0.032036447,0.130102288,0.160306528,9.443340648
X57,45906,60932,42938,56987,40439.83996,56095.07546,37625.24536,54682.57272,57,SVD:AutoArima,0.126610849,0.082663341,0.131890284,0.04127225,9.560918099
X59,28472,35097,26599,32150,26015.12657,33529.72736,26084.70289,37316.27734,59,SVD:AutoArima,0.090181795,0.045675284,0.019523955,0.148742024,7.603076432
X60,48453,59689,41160,57371,43605.37728,59114.99798,43671.90827,59069.6466,60,SVD:AutoArima,0.105316276,0.009663008,0.059220836,0.029176179,5.084407494
X61,26301,35862,29862,32508,24867.96148,35065.22872,26514.79124,37582.52257,61,SVD:AutoArima,0.056012023,0.022467289,0.11874421,0.144799108,8.550565741
X62,34649,42543,31282,37708,33680.28375,41756.31806,34731.64532,43747.19173,62,SVD:AutoArima,0.028354351,0.018664017,0.104513099,0.148282549,7.495350391
X63,38624,51519,34536,48096,34649.51733,48200.68089,33047.31859,54209.53872,63,SVD:AutoArima,0.108483469,0.066552943,0.0440547,0.119515303,8.465160362
X64,58917,76020,53422,65730,58896.62343,73849.17512,56722.68319,79433.23193,64,SVD:AutoArima,0.000345912,0.028969598,0.059933591,0.188797559,6.951166499
X65,25936,34157,24194,33270,23079.88943,32606.80011,24418.06531,37245.60334,65,SVD:AutoArima,0.116538151,0.046438336,0.009218506,0.112758117,7.12382777
X66,34278,42558,33676,37995,31133.97262,39248.11128,29518.31009,40503.90271,66,SVD:AutoArima,0.096130028,0.080920329,0.131584312,0.063921982,9.313916269
X67,40776,55384,42589,57426,39933.11683,50648.81116,36983.38812,53600.78989,67,SVD:AutoArima,0.020886938,0.089315539,0.140893393,0.068906074,8.000048614
X68,46948,54955,48309,45489,37706.73622,43634.36097,35450.07569,52682.33064,68,SVD:AutoArima,0.218328334,0.229652346,0.307045516,0.146546463,22.53931649
X69,49547,60499,49506,53897,45347.08052,53801.99877,42887.41359,61283.78167,69,SVD:AutoArima,0.08851805,0.11718185,0.143269659,0.128264135,11.93084233
X70,34509,43577,35657,42239,32852.07865,43227.01868,30118.33761,45626.98209,70,SVD:AutoArima,0.049195214,0.008063712,0.168411523,0.077117037,7.569687163
X71,43948,59134,39953,55022,45053.52068,58809.72655,43548.39559,62439.12782,71,SVD:AutoArima,0.024842737,0.005498783,0.08611582,0.126290765,6.068702607
X73,25134,31742,23300,26984,22399.28714,28332.72897,22346.84345,30676.02312,73,SVD:AutoArima,0.115065169,0.113501004,0.041762211,0.128061798,9.959754553
X74,30712,37370,27617,35419,30855.2981,39192.54613,29885.87625,40615.49986,74,SVD:AutoArima,0.004655007,0.04760934,0.078913487,0.136687947,6.696644534
X75,35213,42547,35543,36109,31497.66006,38081.32793,30308.72797,42115.71633,75,SVD:AutoArima,0.111386694,0.110771789,0.158971441,0.153575919,13.36764606
X77,40160,54536,40889,46717,39647.1809,51222.50424,38366.50667,52829.24724,77,SVD:AutoArima,0.012851453,0.062661547,0.063654715,0.122802163,6.549246939
X78,19618,25167,16890,24138,17416.45543,23736.38759,17428.72906,26050.81578,78,SVD:AutoArima,0.118891694,0.058507702,0.03139563,0.076224782,7.125495204
X79,28910,39963,28891,37439,26889.406,36930.07744,24550.26182,40768.30509,79,SVD:AutoArima,0.072423495,0.078886752,0.16244894,0.085140514,9.972492541
X80,41137,53417,43679,46890,39900.41107,51969.29329,38053.01245,52588.99026,80,SVD:AutoArima,0.030518964,0.027474288,0.137669131,0.114576761,7.755978618
X82,49381,59509,41365,53869,48366.21634,59045.289,45184.32199,64481.98961,82,SVD:AutoArima,0.020763428,0.007822762,0.088257699,0.179347712,7.404790032
X83,18880,23593,17194,20197,20508.91415,25803.29015,21051.65576,25837.78543,83,SVD:AutoArima,0.082709269,0.089492152,0.201730402,0.24506622,15.47495108
X84,72148,83122,64039,74240,68475.31392,86849.48102,68795.32772,89186.55105,84,SVD:AutoArima,0.052234384,0.043860076,0.07161293,0.182914599,8.765549729
X85,48194,57642,46600,49439,43027.17891,53000.31824,41742.33127,55024.44015,85,SVD:AutoArima,0.113281173,0.083904275,0.10997375,0.106935788,10.35237467
X86,22576,29180,20463,25959,22421.23134,31110.73882,22111.12829,32192.87606,86,SVD:AutoArima,0.00687903,0.064047609,0.077423936,0.214399826,9.068760025
X87,32301,38298,29419,34134,30618.7452,40940.00059,27264.85124,38645.56505,87,SVD:AutoArima,0.053473033,0.066685191,0.07600573,0.123978896,8.003571241
X88,31571,42868,27664,38070,30785.33641,40045.91004,29710.82552,43747.63283,88,SVD:AutoArima,0.025199158,0.068072775,0.071349255,0.138787512,7.585217477
X90,45816,54372,39885,48894,43156.64945,55339.45746,42347.10349,56079.88465,90,SVD:AutoArima,0.059779057,0.017636398,0.059881807,0.136908045,6.855132681
X91,22319,32096,23358,32319,20874.76141,28894.13606,19929.82293,31773.7612,91,SVD:AutoArima,0.066872555,0.104996124,0.158389905,0.017014052,8.681815892
X92,32029,43894,26725,39115,32069.39462,43546.32963,31691.17388,45581.70462,92,SVD:AutoArima,0.001260394,0.007952174,0.170027359,0.152702626,8.298563841
X93,30772,39478,26853,33027,30671.05678,39079.13782,28747.28079,41492.04892,93,SVD:AutoArima,0.003285749,0.010154702,0.068139253,0.227191545,7.719281213
X94,39045,49993,33217,44151,37921.32814,48729.30021,35734.43474,52828.70805,94,SVD:AutoArima,0.029199051,0.025601101,0.073020518,0.178959253,7.669498066
