,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X1,23041,28548,23256,26178,23732.56489,27563.97774,26162.90493,26509.75075,1,tdfp_arima,24444.18616,28840.41267,26329.21904,28022.14265,1,tdfp_arima,24442.27089,28834.02644,26331.07838,28014.80895,1,tdfp_arima
X2,25264,32399,23838,30331,21228.42727,32477.83107,25141.10138,29840.97393,2,tdfp_arima,22541.37378,32511.15139,26737.53245,30081.10509,2,tdfp_arima,22538.13483,32510.95537,26734.37265,30080.42584,2,tdfp_arima
X3,36203,45596,31472,41872,31527.54093,45354.65019,34293.46861,42518.98176,3,tdfp_arima,33477.47223,45401.18136,36471.06449,42861.13322,3,tdfp_arima,33470.83253,45400.77953,36464.58704,42859.74079,3,tdfp_arima
X4,55980,68640,52892,56983,50218.25664,58738.49465,54048.55444,55945.84325,4,tdfp_arima,51724.05173,61458.56166,54392.13392,59137.576,4,tdfp_arima,51718.49559,61440.03532,54397.52781,59116.3011,4,tdfp_arima
X5,24230,31318,20833,28806,21760.36451,30164.64503,23386.65235,28492.30206,5,tdfp_arima,23106.21054,30195.59216,24871.67792,28721.58042,5,tdfp_arima,23102.79003,30195.38515,24868.34099,28720.8631,5,tdfp_arima
X6,24360,29619,21668,26278,23700.03481,30141.76229,25044.28865,28721.86083,6,tdfp_arima,25165.84655,30172.68594,26634.57223,28952.98646,6,tdfp_arima,25162.23562,30172.46741,26631.04954,28952.2292,6,tdfp_arima
X7,54733,63613,52869,66189,43434.18683,59407.14415,45331.70658,54650.912,7,tdfp_arima,46120.52639,59468.09234,48210.2179,55090.68944,7,tdfp_arima,46111.211,59467.52858,48201.13014,55088.73588,7,tdfp_arima
X8,32803,45243,30434,39397,29604.21241,42317.13112,32112.03421,39910.02313,8,tdfp_arima,31435.18872,42360.54598,34151.1115,40231.18022,8,tdfp_arima,31431.25612,42360.30798,34147.27501,40230.35551,8,tdfp_arima
X9,37687,46198,35939,43280,36065.95173,48708.9936,39821.02685,45906.62733,9,tdfp_arima,38296.57695,48758.96613,42349.61633,46276.03927,9,tdfp_arima,38292.88675,48758.7428,42346.0163,46275.26538,9,tdfp_arima
X10,31738,38063,35417,32247,28257.26338,36845.48872,30045.45769,34848.47802,10,tdfp_arima,30004.9329,36883.28999,31953.30975,35128.90471,10,tdfp_arima,30002.80747,36883.16136,31951.23626,35128.45898,10,tdfp_arima
