,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X1,23041,28548,23256,26178,24442.27089,28834.02644,26331.07838,28014.80895,1,HTS:COMB
X2,25264,32399,23838,30331,22538.13483,32510.95537,26734.37265,30080.42584,2,HTS:COMB
X3,36203,45596,31472,41872,33470.83253,45400.77953,36464.58704,42859.74079,3,HTS:COMB
X4,55980,68640,52892,56983,51718.49559,61440.03532,54397.52781,59116.3011,4,HTS:COMB
X5,24230,31318,20833,28806,23102.79003,30195.38515,24868.34099,28720.8631,5,HTS:COMB
X6,24360,29619,21668,26278,25162.23562,30172.46741,26631.04954,28952.2292,6,HTS:COMB
X7,54733,63613,52869,66189,46111.211,59467.52858,48201.13014,55088.73588,7,HTS:COMB
X8,32803,45243,30434,39397,31431.25612,42360.30798,34147.27501,40230.35551,8,HTS:COMB
X9,37687,46198,35939,43280,38292.88675,48758.7428,42346.0163,46275.26538,9,HTS:COMB
X10,31738,38063,35417,32247,30002.80747,36883.16136,31951.23626,35128.45898,10,HTS:COMB
X11,39992,51044,38288,41930,44006.88912,48478.59005,47555.02697,47171.44602,11,HTS:COMB
X12,37816,55205,36316,45240,38283.46162,49531.01176,41397.24537,46712.14023,12,HTS:COMB
X14,28515,34606,25514,30199,27431.49168,35507.35887,29535.00561,33643.74276,14,HTS:COMB
X15,34122,48072,33333,42234,35473.1047,43259.02084,37911.13587,41331.41998,15,HTS:COMB
X16,43324,52864,43436,49883,42264.96349,50222.70865,44477.27524,47923.53319,16,HTS:COMB
X17,30469,42524,29050,40773,31797.4604,40315.15842,34320.73047,38573.10348,17,HTS:COMB
X18,38057,44676,34758,43024,36416.09327,44791.86228,38742.51884,42786.23198,18,HTS:COMB
X19,32244,44226,31180,40358,35677.68882,42379.95922,39060.23525,40705.01286,19,HTS:COMB
X21,26070,41746,26238,41442,25435.52788,37641.50061,29225.9951,35028.25348,21,HTS:COMB
X23,27656,37624,27167,33804,26430.45911,35140.19724,30032.26357,33028.05417,23,HTS:COMB
X24,50093,65151,46437,60216,50830.71486,63394.32963,54270.81086,60391.48898,24,HTS:COMB
