,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X1,23041,28548,23256,26178,23732.56489,27563.97774,26162.90493,26509.75075,1,HTS:TDFP
X2,25264,32399,23838,30331,21228.42727,32477.83107,25141.10138,29840.97393,2,HTS:TDFP
X3,36203,45596,31472,41872,31527.54093,45354.65019,34293.46861,42518.98176,3,HTS:TDFP
X4,55980,68640,52892,56983,50218.25664,58738.49465,54048.55444,55945.84325,4,HTS:TDFP
X5,24230,31318,20833,28806,21760.36451,30164.64503,23386.65235,28492.30206,5,HTS:TDFP
X6,24360,29619,21668,26278,23700.03481,30141.76229,25044.28865,28721.86083,6,HTS:TDFP
X7,54733,63613,52869,66189,43434.18683,59407.14415,45331.70658,54650.912,7,HTS:TDFP
X8,32803,45243,30434,39397,29604.21241,42317.13112,32112.03421,39910.02313,8,HTS:TDFP
X9,37687,46198,35939,43280,36065.95173,48708.9936,39821.02685,45906.62733,9,HTS:TDFP
X10,31738,38063,35417,32247,28257.26338,36845.48872,30045.45769,34848.47802,10,HTS:TDFP
X11,39992,51044,38288,41930,41455.12195,48429.64065,44726.79936,46797.41811,11,HTS:TDFP
X12,37816,55205,36316,45240,36061.27159,49480.74044,38932.99179,46340.94162,12,HTS:TDFP
X14,28515,34606,25514,30199,25836.04851,35471.11757,27773.81738,33375.68729,14,HTS:TDFP
X15,34122,48072,33333,42234,34104.40953,43581.27269,36112.17927,41475.21534,15,HTS:TDFP
X16,43324,52864,43436,49883,39809.08343,50171.61394,41827.38387,47542.27037,16,HTS:TDFP
X17,30469,42524,29050,40773,29952.40601,40274.2907,32278.36623,38266.73385,17,HTS:TDFP
X18,38057,44676,34758,43024,35010.41953,45125.69828,36903.46469,42935.15665,18,HTS:TDFP
X19,32244,44226,31180,40358,33604.562,42336.84279,36732.87626,40381.16861,19,HTS:TDFP
X21,26070,41746,26238,41442,24699.03578,35988.63629,29037.41926,33152.61641,21,HTS:TDFP
X23,27656,37624,27167,33804,25411.15081,35401.92457,28607.4742,33142.93655,23,HTS:TDFP
X24,50093,65151,46437,60216,47880.38271,63330.02239,51040.52533,59911.68437,24,HTS:TDFP
X25,57999,65600,51031,58650,60717.59844,62959.59103,61971.79223,58999.77774,25,HTS:TDFP
X26,35892,47254,33761,42262,33959.69833,44093.12427,35844.00239,42147.21592,26,HTS:TDFP
X27,49688,63333,40204,57079,41871.67153,63121.15206,46273.7268,58439.18661,27,HTS:TDFP
X28,22696,32563,20859,32451,22706.77791,29611.68915,23679.07094,28468.1906,28,HTS:TDFP
X29,40266,50855,37457,45123,42255.37661,53758.52834,44888.17088,51435.95212,29,HTS:TDFP
X30,21603,26303,18725,24368,20637.05012,25359.43053,22067.27718,24123.63335,30,HTS:TDFP
X31,31240,38223,29525,33732,30032.68301,36276.27181,32514.72313,34258.64837,31,HTS:TDFP
X33,42947,51575,40769,44097,41510.01027,52644.11762,43610.44533,50242.52415,33,HTS:TDFP
X34,46938,56661,40804,47688,39007.05956,49726.62651,42918.95892,46544.30077,34,HTS:TDFP
X35,58449,75304,47704,58751,50433.65386,76601.90943,57577.19678,70999.27238,35,HTS:TDFP
X37,35599,46140,33045,41853,35341.12588,41095.40741,38654.90455,39770.19364,37,HTS:TDFP
X38,30014,43200,27715,36029,26570.84513,39916.23076,29894.41259,37174.27151,38,HTS:TDFP
X39,23247,30991,21427,32916,24431.93454,34218.79659,26531.41046,32459.66128,39,HTS:TDFP
X40,23031,28918,25224,26328,23252.66355,26612.19962,24084.00724,26251.30601,40,HTS:TDFP
X42,52677,65226,48837,57047,51608.83449,66854.21263,54926.57853,63453.94406,42,HTS:TDFP
X43,31905,41134,30327,37034,32925.51463,43232.04199,35642.78773,41064.73065,43,HTS:TDFP
X44,25323,34895,24389,31814,25070.40797,35728.54088,27481.49466,33635.89198,44,HTS:TDFP
X45,27705,36896,27931,30659,25738.6012,34422.87815,27358.88366,32617.44114,45,HTS:TDFP
X47,39002,50227,34536,41714,37654.55686,47657.65044,39561.65021,45436.35523,47,HTS:TDFP
X48,18510,23535,16543,18820,18057.72118,22686.83387,19063.17121,21773.93514,48,HTS:TDFP
X49,40798,51329,40189,49252,38978.46799,48286.12465,40381.64367,46114.34272,49,HTS:TDFP
X50,22600,32021,22050,27798,19344.63199,28166.90002,21109.5677,26362.65465,50,HTS:TDFP
X53,29262,36331,26459,33803,26319.40754,33178.34404,28802.3798,30386.7746,53,HTS:TDFP
X54,40180,52331,38909,50043,41311.31301,47590.83441,43885.09187,46238.86616,54,HTS:TDFP
X55,28773,33154,22805,29899,25927.38124,32458.21738,27534.07647,31108.11523,55,HTS:TDFP
X56,46275,55610,45413,46135,42935.31645,51236.35001,45272.88223,49488.55191,56,HTS:TDFP
X57,45906,60932,42938,56987,47493.24632,54376.92326,49577.27876,53045.21846,57,HTS:TDFP
X59,28472,35097,26599,32150,25724.14037,34841.27401,28384.09702,32831.77069,59,HTS:TDFP
X60,48453,59689,41160,57371,43987.61074,56392.54224,46429.09827,53837.7333,60,HTS:TDFP
X61,26301,35862,29862,32508,25886.78166,34452.81824,27277.37864,32502.75407,61,HTS:TDFP
X62,34649,42543,31282,37708,31987.49707,40550.50802,33709.45553,38583.93838,62,HTS:TDFP
X63,38624,51519,34536,48096,35308.86901,45883.42907,39820.81956,42651.30702,63,HTS:TDFP
X64,58917,76020,53422,65730,56001.61485,73155.03336,61367.79882,69680.84256,64,HTS:TDFP
X65,25936,34157,24194,33270,23761.88378,34267.16495,25209.02065,31816.31611,65,HTS:TDFP
X66,34278,42558,33676,37995,31890.06629,37201.89368,33541.45794,35340.45204,66,HTS:TDFP
X67,40776,55384,42589,57426,37575.09136,51250.83341,40206.90466,48532.81614,67,HTS:TDFP
X68,46948,54955,48309,45489,42827.41401,47475.60727,43011.91923,45486.39311,68,HTS:TDFP
X69,49547,60499,49506,53897,48971.97198,54693.42726,54323.8709,51718.63188,69,HTS:TDFP
X70,34509,43577,35657,42239,34093.75705,38741.37664,38097.27853,36270.2269,70,HTS:TDFP
X71,43948,59134,39953,55022,42134.93031,57936.29794,45900.33228,54530.57977,71,HTS:TDFP
X73,25134,31742,23300,26984,24024.24475,29133.72968,25079.97763,27868.38115,73,HTS:TDFP
X74,30712,37370,27617,35419,30874.45356,38923.71714,32419.18018,37064.91882,74,HTS:TDFP
X75,35213,42547,35543,36109,33226.13712,38997.88194,33674.4331,36955.30581,75,HTS:TDFP
X77,40160,54536,40889,46717,39254.81507,50999.08279,41403.68012,48673.21289,77,HTS:TDFP
X78,19618,25167,16890,24138,17862.60781,24676.53623,19165.70393,23279.85102,78,HTS:TDFP
X79,28910,39963,28891,37439,23442.93237,36583.16746,26266.52517,33824.75947,79,HTS:TDFP
X80,41137,53417,43679,46890,39284.75008,49742.89549,42264.22973,47477.29177,80,HTS:TDFP
X82,49381,59509,41365,53869,41218.35549,58394.11632,45170.11089,54585.50867,82,HTS:TDFP
X83,18880,23593,17194,20197,19334.2785,24319.13253,20160.24847,23188.03144,83,HTS:TDFP
X84,72148,83122,64039,74240,65702.42457,83428.53243,69014.61981,79372.10912,84,HTS:TDFP
X85,48194,57642,46600,49439,45755.33576,53891.87006,47428.19231,51750.01251,85,HTS:TDFP
X86,22576,29180,20463,25959,21530.77598,30475.4543,23343.13171,28707.80382,86,HTS:TDFP
X87,32301,38298,29419,34134,28249.82151,37504.39894,29565.86574,36083.46255,87,HTS:TDFP
X88,31571,42868,27664,38070,26658.99537,40303.26011,29099.65644,37568.02999,88,HTS:TDFP
X90,45816,54372,39885,48894,42976.01791,52237.06399,46063.11028,50222.45508,90,HTS:TDFP
X91,22319,32096,23358,32319,22387.18693,29035.08037,24577.13545,27124.06763,91,HTS:TDFP
X92,32029,43894,26725,39115,30803.13139,40115.45624,35193.89936,37473.8589,92,HTS:TDFP
X93,30772,39478,26853,33027,27562.23954,38289.01858,29918.80878,36203.83256,93,HTS:TDFP
X94,39045,49993,33217,44151,33563.53996,48203.01133,37869.30932,44971.86149,94,HTS:TDFP
X95,35859,46335,33339,43987,34373.24703,45066.61936,36595.4403,42790.63286,95,HTS:TDFP
X96,24612,34933,25538,37059,24644.90946,34663.2136,26827.99625,32640.05464,96,HTS:TDFP
X97,38566,45898,34033,42418,34536.05279,43923.36693,36246.36717,42022.09075,97,HTS:TDFP
X98,29127,37591,27169,31448,26595.53142,37232.75799,28651.58198,34923.38327,98,HTS:TDFP
X101,41324,55887,36170,46946,37575.34998,50071.20131,40625.35703,47073.56314,101,HTS:TDFP
X102,36247,46471,29490,44898,31591.05939,45273.66137,33834.26401,43000.42593,102,HTS:TDFP
X103,28072,30947,24675,24968,28013.73229,29359.89558,27755.08456,29243.72687,103,HTS:TDFP
X104,60967,68735,57671,53272,52568.51642,64118.5251,54623.41236,62030.21555,104,HTS:TDFP
X105,25924,33178,25986,33037,28471.54287,32728.03513,29887.28009,31672.90052,105,HTS:TDFP
X106,51707,62078,46659,47735,42906.33504,51207.4193,46354.58253,49574.40619,106,HTS:TDFP
X107,43336,49429,42796,40615,38329.49358,46985.01945,41263.78817,45087.17592,107,HTS:TDFP
X109,37149,45197,32764,35447,32586.04657,42051.47946,34573.40244,39433.82805,109,HTS:TDFP
X110,26352,30955,26264,32070,23795.08943,28097.31166,24523.62353,26759.34187,110,HTS:TDFP
X111,34572,47222,34646,41719,31898.15356,44238.94523,34276.08997,41754.06613,111,HTS:TDFP
X112,36735,39790,39521,34581,32524.4179,38948.66379,33720.77001,37236.7643,112,HTS:TDFP
X114,28885,35680,25822,30981,28251.12475,30299.33888,30939.09859,29455.33563,114,HTS:TDFP
X116,37844,47350,37372,37711,36852.36116,45218.9145,39101.20336,43368.50938,116,HTS:TDFP
X117,20056,23628,17373,21094,19088.34078,24224.87844,20031.27896,23192.81877,117,HTS:TDFP
X118,44141,62009,37842,51688,38863.42608,54799.75757,43261.20916,51363.62312,118,HTS:TDFP
X119,33005,39049,28783,32958,29517.30582,37394.19814,32917.45251,34728.21403,119,HTS:TDFP
X120,36482,47236,38098,44971,33483.46534,45676.85176,36665.95314,43101.0031,120,HTS:TDFP
X121,21810,27714,20073,25242,22254.01823,26648.64566,24303.1559,25640.05217,121,HTS:TDFP
X122,51505,59765,58768,66797,42318.76278,51176.79022,43219.77854,47469.21749,122,HTS:TDFP
X123,43262,56483,38807,52986,41179.44553,49326.29415,44522.9813,47693.31388,123,HTS:TDFP
X124,25183,26199,20951,25394,24427.43162,28965.18818,26118.83197,28036.72193,124,HTS:TDFP
