,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X1,23041,28548,23256,26178,24444.18616,28840.41267,26329.21904,28022.14265,1,HTS:MO
X2,25264,32399,23838,30331,22541.37378,32511.15139,26737.53245,30081.10509,2,HTS:MO
X3,36203,45596,31472,41872,33477.47223,45401.18136,36471.06449,42861.13322,3,HTS:MO
X4,55980,68640,52892,56983,51724.05173,61458.56166,54392.13392,59137.576,4,HTS:MO
X5,24230,31318,20833,28806,23106.21054,30195.59216,24871.67792,28721.58042,5,HTS:MO
X6,24360,29619,21668,26278,25165.84655,30172.68594,26634.57223,28952.98646,6,HTS:MO
X7,54733,63613,52869,66189,46120.52639,59468.09234,48210.2179,55090.68944,7,HTS:MO
X8,32803,45243,30434,39397,31435.18872,42360.54598,34151.1115,40231.18022,8,HTS:MO
X9,37687,46198,35939,43280,38296.57695,48758.96613,42349.61633,46276.03927,9,HTS:MO
X10,31738,38063,35417,32247,30004.9329,36883.28999,31953.30975,35128.90471,10,HTS:MO
X11,39992,51044,38288,41930,44019.0593,48479.32658,47566.89976,47173.99826,11,HTS:MO
X12,37816,55205,36316,45240,38291.60736,49531.50473,41405.19206,46713.84849,12,HTS:MO
X14,28515,34606,25514,30199,27433.96951,35507.50882,29537.4229,33644.2624,14,HTS:MO
X15,34122,48072,33333,42234,35477.96653,43257.81321,37916.67988,41330.92163,15,HTS:MO
X16,43324,52864,43436,49883,42271.21575,50223.08703,44483.37472,47924.84437,16,HTS:MO
X17,30469,42524,29050,40773,31804.91757,40315.60972,34328.00542,38574.66734,17,HTS:MO
X18,38057,44676,34758,43024,36420.46614,44790.7761,38747.50529,42785.78376,18,HTS:MO
X19,32244,44226,31180,40358,35682.95395,42380.27786,39065.37173,40706.11702,19,HTS:MO
X21,26070,41746,26238,41442,25439.63669,37655.201,29222.00627,35043.98645,21,HTS:MO
X23,27656,37624,27167,33804,26434.58633,35139.17208,30036.96989,33027.63112,23,HTS:MO
X24,50093,65151,46437,60216,50841.71283,63394.99522,54281.54008,60393.79539,24,HTS:MO
X25,57999,65600,51031,58650,62538.21643,65875.12892,62365.73868,62365.73868,25,HTS:MO
X26,35892,47254,33761,42262,35327.42709,43765.86584,37635.10239,42000.58429,26,HTS:MO
X27,49688,63333,40204,57079,44461.37185,63185.9106,49212.05532,58909.44841,27,HTS:MO
X28,22696,32563,20859,32451,24111.15819,29642.06898,25182.66476,28697.27494,28,HTS:MO
X29,40266,50855,37457,45123,43957.21427,53359.53345,47131.20172,51257.00466,29,HTS:MO
X30,21603,26303,18725,24368,21913.42083,25385.4478,23468.52394,24317.75691,30,HTS:MO
X31,31240,38223,29525,33732,31242.251,36007.02994,34139.46135,34139.46135,31,HTS:MO
X33,42947,51575,40769,44097,44077.34238,52698.12735,46379.65853,50646.82717,33,HTS:MO
X34,46938,56661,40804,47688,40176.68675,52029.37119,43191.78903,49199.67176,34,HTS:MO
X35,58449,75304,47704,58751,52464.87209,76033.37135,60454.28946,70752.26346,35,HTS:MO
X37,35599,46140,33045,41853,36400.83,42998.45689,38900.62864,42039.09911,37,HTS:MO
X38,30014,43200,27715,36029,27640.98741,39619.97317,31388.2157,37044.94093,38,HTS:MO
X39,23247,30991,21427,32916,25943.01318,34253.90304,28216.12456,32720.8651,39,HTS:MO
X40,23031,28918,25224,26328,24690.80605,26639.50215,25613.31405,26462.55102,40,HTS:MO
X42,52677,65226,48837,57047,54800.76378,66922.80107,58414.3532,63964.55975,42,HTS:MO
X43,31905,41134,30327,37034,34251.59157,42911.1745,37423.83317,40921.86503,43,HTS:MO
X44,25323,34895,24389,31814,26620.97524,35765.19624,29226.53802,33906.56096,44,HTS:MO
X45,27705,36896,27931,30659,26775.22481,34167.39213,28725.98814,32503.96393,45,HTS:MO
X47,39002,50227,34536,41714,39983.43494,47706.54435,42073.76957,45801.98287,47,HTS:MO
X48,18510,23535,16543,18820,19174.56425,22710.10921,20273.6607,21949.15061,48,HTS:MO
X49,40798,51329,40189,49252,40548.32797,47927.74585,42399.48647,45953.90933,49,HTS:MO
X50,22600,32021,22050,27798,20123.73813,27957.84577,22164.39819,26270.93806,50,HTS:MO
X53,29262,36331,26459,33803,27947.22357,33212.38305,30631.29784,30631.29784,53,HTS:MO
X54,40180,52331,38909,50043,42975.12845,47237.61604,46077.99954,46077.99954,54,HTS:MO
X55,28773,33154,22805,29899,27530.95102,32491.51758,29282.45871,31358.44312,55,HTS:MO
X56,46275,55610,45413,46135,44664.53872,50856.07468,47535.13683,49316.37953,56,HTS:MO
X57,45906,60932,42938,56987,49406.03948,53973.33865,52054.62107,52860.67231,57,HTS:MO
X59,28472,35097,26599,32150,27315.14001,34877.01908,30186.45459,33095.96888,59,HTS:MO
X60,48453,59689,41160,57371,45759.21422,55973.99774,48749.12819,53650.42997,60,HTS:MO
X61,26301,35862,29862,32508,27487.84042,34488.16478,29009.46086,32764.30465,61,HTS:MO
X62,34649,42543,31282,37708,33965.87597,40592.11043,35849.96725,38894.42443,62,HTS:MO
X63,38624,51519,34536,48096,36367.60591,48008.20265,40073.95522,45084.58116,63,HTS:MO
X64,58917,76020,53422,65730,58257.08302,72612.07793,64434.30527,69438.4205,64,HTS:MO
X65,25936,34157,24194,33270,25231.52079,34302.32102,26809.76452,32072.34291,65,HTS:MO
X66,34278,42558,33676,37995,33174.44049,36925.78185,35217.50138,35217.50138,66,HTS:MO
X67,40776,55384,42589,57426,39899.05461,51303.41371,42759.99694,48923.36109,67,HTS:MO
X68,46948,54955,48309,45489,45476.22557,47524.31441,45743.12671,45852.42341,68,HTS:MO
X69,49547,60499,49506,53897,50440.3972,57226.17496,54669.20053,54669.20053,69,HTS:MO
X70,34509,43577,35657,42239,35116.0588,40535.41547,38339.45786,38339.45786,70,HTS:MO
X71,43948,59134,39953,55022,44740.91279,57995.73713,48814.95067,54969.3889,71,HTS:MO
X73,25134,31742,23300,26984,25510.10839,29163.61915,26672.52741,28092.63881,73,HTS:MO
X74,30712,37370,27617,35419,32783.99238,38963.65055,34477.7609,37363.18128,74,HTS:MO
X75,35213,42547,35543,36109,34564.32165,38708.44031,35357.12122,36826.73702,75,HTS:MO
X77,40160,54536,40889,46717,40835.80494,50620.56845,43472.59337,48503.8771,77,HTS:MO
X78,19618,25167,16890,24138,18967.38341,24701.85289,20382.70412,23467.18464,78,HTS:MO
X79,28910,39963,28891,37439,24892.8427,36620.69961,27934.41936,34096.94827,79,HTS:MO
X80,41137,53417,43679,46890,40866.94559,49373.70456,44376.14405,47312.11663,80,HTS:MO
X82,49381,59509,41365,53869,43767.64919,58454.0252,48038.36107,55024.75981,82,HTS:MO
X83,18880,23593,17194,20197,20530.07473,24344.08251,21440.4011,23374.62619,83,HTS:MO
X84,72148,83122,64039,74240,69766.02135,83514.12513,73396.96893,80010.81873,84,HTS:MO
X85,48194,57642,46600,49439,48092.22123,53736.82728,49411.24807,52157.45068,85,HTS:MO
X86,22576,29180,20463,25959,22862.4223,30506.7203,24825.39377,28938.81633,86,HTS:MO
X87,32301,38298,29419,34134,29997.03076,37542.87621,31443.26427,36373.8272,87,HTS:MO
X88,31571,42868,27664,38070,28307.8144,40344.60885,30947.45121,37870.341,88,HTS:MO
X90,45816,54372,39885,48894,45634.0204,52290.6561,48988.06489,50626.59661,90,HTS:MO
X91,22319,32096,23358,32319,23058.46703,30379.63925,24733.36903,28671.50654,91,HTS:MO
X92,32029,43894,26725,39115,31726.76369,41973.12607,35417.6223,39611.75755,92,HTS:MO
X93,30772,39478,26853,33027,29266.92287,38328.30083,31818.61878,36495.16583,93,HTS:MO
X94,39045,49993,33217,44151,34915.31341,47845.24939,39761.61251,44815.40282,94,HTS:MO
X95,35859,46335,33339,43987,36499.181,45112.85503,38919.20874,43134.97029,95,HTS:MO
X96,24612,34933,25538,37059,26169.16028,34698.77599,28531.5432,32902.71008,96,HTS:MO
X97,38566,45898,34033,42418,35926.99425,43597.36844,38057.57306,41875.89445,97,HTS:MO
X98,29127,37591,27169,31448,27666.66794,36956.41709,30083.28171,34801.88361,98,HTS:MO
X101,41324,55887,36170,46946,39088.69931,49699.57369,42655.37802,46909.79259,101,HTS:MO
X102,36247,46471,29490,44898,33544.91921,45320.10944,35982.70093,43346.45158,102,HTS:MO
X103,28072,30947,24675,24968,29141.98693,29141.98693,29141.98693,29141.98693,103,HTS:MO
X104,60967,68735,57671,53272,55819.80061,64184.30689,58091.93633,62529.37445,104,HTS:MO
X105,25924,33178,25986,33037,30232.46525,32761.61215,31785.08806,31927.77325,105,HTS:MO
X106,51707,62078,46659,47735,45560.02775,51259.95506,49298.04529,49973.33284,106,HTS:MO
X107,43336,49429,42796,40615,40700.11548,47033.22328,43883.99134,45449.99371,107,HTS:MO
X109,37149,45197,32764,35447,34601.44486,42094.62177,36768.7738,39751.15318,109,HTS:MO
X110,26352,30955,26264,32070,25266.78016,28126.13783,26080.84547,26974.67505,110,HTS:MO
X111,34572,47222,34646,41719,33182.85348,43910.60453,35988.84247,41608.80229,111,HTS:MO
X112,36735,39790,39521,34581,34536.00455,38988.6228,35862.00019,37536.4096,112,HTS:MO
X114,28885,35680,25822,30981,29098.2351,31702.44314,31135.77432,31135.77432,114,HTS:MO
X116,37844,47350,37372,37711,39131.62463,45265.30641,41584.08488,43717.497,116,HTS:MO
X117,20056,23628,17373,21094,20268.92613,24249.73172,21303.24218,23379.45204,117,HTS:MO
X118,44141,62009,37842,51688,40428.65274,54393.03469,45422.94185,51184.9273,118,HTS:MO
