,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X1,23041,28548,23256,26178,5069,3745,7277,3105,1,ICA
X2,25264,32399,23838,30331,6065,4086,9032,3160,2,ICA
X3,36203,45596,31472,41872,8362,5113,12712,3793,3,ICA
X4,55980,68640,52892,56983,7634,5631,11250,4382,4,ICA
X5,24230,31318,20833,28806,5158,3527,7914,2486,5,ICA
X6,24360,29619,21668,26278,9162,7624,12209,7056,6,ICA
X7,54733,63613,52869,66189,6529,6034,9962,4122,7,ICA
X8,32803,45243,30434,39397,9790,7528,13405,6820,8,ICA
X9,37687,46198,35939,43280,11308,9849,14824,9210,9,ICA
X10,31738,38063,35417,32247,5504,4115,7702,3600,10,ICA
X11,39992,51044,38288,41930,6986,6706,10622,4593,11,ICA
X12,37816,55205,36316,45240,9653,6823,14250,5342,12,ICA
X14,28515,34606,25514,30199,5832,3724,8512,3092,14,ICA
X15,34122,48072,33333,42234,6933,5256,10237,4043,15,ICA
X16,43324,52864,43436,49883,8953,7105,12576,6048,16,ICA
X17,30469,42524,29050,40773,8213,5206,12569,3750,17,ICA
X18,38057,44676,34758,43024,8507,7051,11873,6001,18,ICA
X19,32244,44226,31180,40358,9313,7085,12995,6199,19,ICA
X21,26070,41746,26238,41442,9308,6321,13459,5281,21,ICA
X23,27656,37624,27167,33804,6853,4444,10328,3347,23,ICA
X24,50093,65151,46437,60216,11502,8590,16641,6974,24,ICA
X25,57999,65600,51031,58650,10953,8060,15722,6693,25,ICA
X26,35892,47254,33761,42262,9300,6823,13614,5408,26,ICA
X27,49688,63333,40204,57079,13538,9466,19830,7587,27,ICA
X28,22696,32563,20859,32451,7604,5766,10820,4842,28,ICA
X29,40266,50855,37457,45123,14403,11968,19299,10976,29,ICA
X30,21603,26303,18725,24368,10464,8355,14008,7790,30,ICA
X31,31240,38223,29525,33732,4780,3708,7397,2499,31,ICA
X33,42947,51575,40769,44097,7534,4533,11218,3608,33,ICA
X34,46938,56661,40804,47688,6783,4581,10064,3578,34,ICA
X35,58449,75304,47704,58751,17272,13362,23856,11872,35,ICA
X37,35599,46140,33045,41853,8046,6229,11815,4834,37,ICA
X38,30014,43200,27715,36029,8517,5365,12534,4369,38,ICA
X39,23247,30991,21427,32916,9190,6928,12747,6157,39,ICA
X40,23031,28918,25224,26328,4811,4037,6945,3192,40,ICA
X42,52677,65226,48837,57047,13073,9735,18652,8170,42,ICA
X43,31905,41134,30327,37034,8567,5393,12566,4435,43,ICA
X44,25323,34895,24389,31814,6496,4380,9617,3444,44,ICA
