,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,W-131,W-132,W-133,W-134,sMAPE
X1,23041,28548,23256,26178,25977.19196,24012.49426,25933.29273,25538.30731,1,SVD:Prophet,0.119800092,0.172582309,0.108856728,0.024738529,10.64944147
X2,25264,32399,23838,30331,29516.26182,30908.62482,31070.46428,34267.52404,2,SVD:Prophet,0.155247955,0.047083592,0.263437136,0.121876594,14.69113192
X3,36203,45596,31472,41872,44733.39053,42873.024,45404.36661,43693.95604,3,SVD:Prophet,0.210792462,0.061557727,0.362461631,0.042586003,16.93494558
X4,55980,68640,52892,56983,56376.97785,56707.16085,57856.6412,57396.60836,4,SVD:Prophet,0.007066368,0.19039664,0.08965602,0.007232205,7.358780811
X5,24230,31318,20833,28806,28846.46208,29073.00808,27944.04871,28014.68856,5,SVD:Prophet,0.173955154,0.074348549,0.291573553,0.027852934,14.19325478
X6,24360,29619,21668,26278,24868.80062,25514.84794,25230.20391,25568.32559,6,SVD:Prophet,0.020670852,0.14887958,0.151912168,0.027376073,8.720966823
X7,54733,63613,52869,66189,53099.89425,54030.32741,53570.60998,60315.36192,7,SVD:Prophet,0.030289565,0.162910601,0.01318325,0.092860641,7.481101434
X8,32803,45243,30434,39397,39351.53913,41276.42655,39712.48952,42205.12706,8,SVD:Prophet,0.181514267,0.091692088,0.264546083,0.06882485,15.16443219
X9,37687,46198,35939,43280,48854.91953,49641.15151,50277.06031,50168.87754,9,SVD:Prophet,0.258092716,0.071852713,0.332607643,0.147436282,20.24973385
X10,31738,38063,35417,32247,37853.15282,35737.42262,34494.01908,36427.22513,10,SVD:Prophet,0.175745122,0.063023416,0.026404448,0.121740729,9.672842883
X11,39992,51044,38288,41930,46086.70408,40271.94637,45164.28561,44709.77845,11,SVD:Prophet,0.14160771,0.235929299,0.164795621,0.064168642,15.1625318
X12,37816,55205,36316,45240,45580.87223,50194.57821,48018.71703,47291.39616,12,SVD:Prophet,0.186214951,0.095074798,0.277530238,0.044339462,15.0789862
X14,28515,34606,25514,30199,35092.28594,33803.3404,35677.27152,34879.28267,14,SVD:Prophet,0.206809199,0.023466374,0.332180433,0.143835469,17.6572869
X15,34122,48072,33333,42234,41076.40902,40991.69563,42507.67598,41913.6434,15,SVD:Prophet,0.1849616,0.158994174,0.24194605,0.007614155,14.83789947
X16,43324,52864,43436,49883,50512.43023,49485.47875,50675.94584,49810.67954,16,SVD:Prophet,0.153211929,0.066019315,0.153858169,0.001450853,9.363506663
X17,30469,42524,29050,40773,37931.136,36943.40712,37337.1014,36197.42336,17,SVD:Prophet,0.218190677,0.140449854,0.249659986,0.118891814,18.1798083
X18,38057,44676,34758,43024,43615.24522,45240.91487,44592.66167,43882.86282,18,SVD:Prophet,0.136110994,0.012565264,0.247878504,0.019765132,10.40799735
X19,32244,44226,31180,40358,44416.07898,45933.86213,45226.58217,42911.19723,19,SVD:Prophet,0.317559782,0.037885198,0.367679898,0.06132393,19.61122022
X21,26070,41746,26238,41442,35107.83426,36232.65821,36879.29291,37126.83385,21,SVD:Prophet,0.295461072,0.141406429,0.337191043,0.10984422,22.09756911
X23,27656,37624,27167,33804,34169.43925,35674.34735,33377.65434,35031.10583,23,SVD:Prophet,0.21070418,0.053197725,0.205159461,0.035653489,12.61787138
X24,50093,65151,46437,60216,61869.22954,61982.782,63344.58862,61878.79137,24,SVD:Prophet,0.210360754,0.049840695,0.308022298,0.027237712,14.88653648
