,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,W-131,W-132,W-133,W-134,sMAPE
X1,23041,28548,23256,26178,22637.74105,25833.09665,21380.60232,29933.87298,1,SVD:TSLM,0.017656308,0.099847319,0.084029589,0.133870883,8.385102458
X2,25264,32399,23838,30331,23035.87601,31976.26459,23432.10665,38713.16962,2,SVD:TSLM,0.0922621,0.013133473,0.017173363,0.242806009,9.134373616
X3,36203,45596,31472,41872,36150.92088,44783.72937,35052.42465,50469.84535,3,SVD:TSLM,0.001439566,0.01797462,0.107642409,0.18621775,7.831858612
X4,55980,68640,52892,56983,48679.53759,59259.10605,48145.65707,64613.89957,4,SVD:TSLM,0.139508784,0.146692096,0.093951959,0.125511417,12.6416064
X5,24230,31318,20833,28806,22693.16732,30117.60684,20677.32972,32300.51618,5,SVD:TSLM,0.065504218,0.039078092,0.007500315,0.114374584,5.661430227
X6,24360,29619,21668,26278,22934.33307,28628.91716,21601.36932,31625.088,6,SVD:TSLM,0.060289123,0.033995476,0.003079808,0.184690944,7.051383791
X7,54733,63613,52869,66189,44591.09145,55926.85114,43286.77738,66789.09584,7,SVD:TSLM,0.204218501,0.12859559,0.199306227,0.009025484,13.52864508
X8,32803,45243,30434,39397,30945.95375,41685.0783,30270.95457,46257.61014,8,SVD:TSLM,0.058261231,0.081858975,0.005371734,0.160192432,7.642109283
X9,37687,46198,35939,43280,39169.5012,49604.59161,39634.0413,53869.74621,9,SVD:TSLM,0.03857842,0.071116899,0.097787286,0.218008726,10.63728328
X10,31738,38063,35417,32247,33083.37464,37002.02001,28628.84915,40357.25781,10,SVD:TSLM,0.041510216,0.028268293,0.211977855,0.223409978,12.62915854
X11,39992,51044,38288,41930,38431.62961,42569.83296,35633.94739,51624.76323,11,SVD:TSLM,0.039793373,0.181045189,0.071806891,0.207253226,12.49746698
X12,37816,55205,36316,45240,35404.8312,51672.34408,36119.18708,53923.12337,12,SVD:TSLM,0.065860187,0.066106731,0.00543418,0.175128073,7.81322927
X14,28515,34606,25514,30199,29672.43004,35229.6411,29025.995,39429.23156,14,SVD:TSLM,0.03978282,0.017860253,0.12878604,0.265128996,11.28895274
X15,34122,48072,33333,42234,33590.06196,42400.17345,33592.17397,47258.22622,15,SVD:TSLM,0.015711766,0.125382785,0.007745186,0.112282964,6.52806755
X16,43324,52864,43436,49883,41873.33899,50747.7329,40558.67668,55311.60694,16,SVD:TSLM,0.034054139,0.040849951,0.06851204,0.103210746,6.165671899
X17,30469,42524,29050,40773,28548.16029,38355.00321,26348.81923,42489.70704,17,SVD:TSLM,0.065094278,0.10309219,0.09751763,0.041235917,7.673500365
X18,38057,44676,34758,43024,35060.73046,46007.37743,34810.59051,48548.55115,18,SVD:TSLM,0.0819574,0.029363208,0.001511904,0.120659544,5.837301401
X19,32244,44226,31180,40358,35888.58298,46802.4492,35427.32285,47768.71203,19,SVD:TSLM,0.106985023,0.05660756,0.12753321,0.168183105,11.48272245
X21,26070,41746,26238,41442,25799.13431,36962.50646,26300.45629,42221.19045,21,SVD:TSLM,0.010444196,0.121549595,0.002377546,0.01862684,3.824954415
X23,27656,37624,27167,33804,26644.68993,36894.12534,24520.36353,40190.16273,23,SVD:TSLM,0.037248516,0.019589185,0.10240942,0.172612609,8.296493255
X24,50093,65151,46437,60216,50055.19027,63645.89068,49549.23757,69416.81423,24,SVD:TSLM,0.000755076,0.023371827,0.064847579,0.141951932,5.77316035
X25,57999,65600,51031,58650,54906.59833,66742.66042,56276.87495,72078.49305,25,SVD:TSLM,0.054778536,0.01726821,0.097772413,0.205440952,9.381502777
X26,35892,47254,33761,42262,32313.22465,44015.8772,33047.47837,46378.02252,26,SVD:TSLM,0.104941384,0.070957098,0.021360212,0.092870521,7.25323037
X27,49688,63333,40204,57079,47709.83889,64434.26223,46881.01275,72956.87922,27,SVD:TSLM,0.040620226,0.017238567,0.153344704,0.244207665,11.38527904
X28,22696,32563,20859,32451,21907.31436,29659.60903,20889.84667,32975.0298,28,SVD:TSLM,0.035364441,0.093322701,0.001477726,0.016019,3.654596703
X29,40266,50855,37457,45123,41204.24399,57805.7597,42729.10419,56716.71685,29,SVD:TSLM,0.023032802,0.127935047,0.131496704,0.227685567,12.75375299
X30,21603,26303,18725,24368,20024.20509,24996.20331,19339.82062,27650.52457,30,SVD:TSLM,0.075853995,0.050948031,0.032303876,0.126205985,7.132797174
X31,31240,38223,29525,33732,27214.33375,36358.66621,27831.29375,39886.59853,31,SVD:TSLM,0.137737136,0.049994426,0.059059125,0.167202274,10.349824
X33,42947,51575,40769,44097,43640.09498,52524.86488,43511.44296,56162.04494,33,SVD:TSLM,0.016009198,0.018249109,0.065078988,0.240677436,8.500368271
X34,46938,56661,40804,47688,44120.88181,51077.13352,41270.60199,57863.81505,34,SVD:TSLM,0.061874649,0.103656269,0.011370192,0.192811749,9.242821492
X35,58449,75304,47704,58751,55847.35282,78192.09999,57175.13909,86234.95171,35,SVD:TSLM,0.045524588,0.037630923,0.180610542,0.379125721,16.07229435
